CallNumber,Author,Title,ISBN,PubName,PubYear
E 841 Ken, John F. 1917-1963. (John Fitzgerald) Kennedy,Papers of John F. Kennedy : presidential papers; president's office files; presidential recordings; transcripts : Cuban missile crisis meetings; October 16; 1962 ,,John F Kennedy Library,198-
E 841 Ken, John F. 1917-1963. (John Fitzgerald) Kennedy,The Kennedy presidential press conferences ,9780930576011; 0930576012,EMCE,1978
E 841 Ken, John F. 1917-1963. (John Fitzgerald) Kennedy,To turn the tide ,,Hamilton,1962
E 841 Ker, Montague Kern,The Kennedy crises : the press; the presidency; and foreign policy ,9780807815694; 0807815691,U of N Caroli P,1983
E 841 Klu, F. L. Kluckhohn,American : listen! ,,Morch,1963
E 841 LAT, Michael E. Latham,Modernization as ideology : American social science and "tion building" in the Kennedy era ,9780807825334; 0807825336; 9780807848449; 0807848441,University of North Caroli Press,2000
E 841 LON, Michael E. Latham,Long time gone : sixties America then and now ,9780195125153; 0195125150; 9780195125146; 0195125142,Oxford University Press,2001
E 841 Let, Michael E. Latham,Let us begin : the first 100 days of the Kennedy administration ,,Simon & Schuster,1961
E 841 MAC, John C. McWilliams,The 1960s cultural revolution ,9780313299131; 0313299137,Greenwood Press,2000
E 841 Mag, Timothy P. Maga,John F. Kennedy and new frontier diplomacy 1961-1963 ,9780894648298; 0894648292,Krieger Publishing,1994
E 841 Mai, Norman Mailer,The Presidential Papers ,9780586043219; 0586043217,Panther,1976
E 841 Mir, Bruce. Miroff,Pragmatic illusions : the presidential politics of John F. Kennedy ,9780679302988; 0679302980,Longman,1976
E 841 T, James A. than,Atomy of the Cuban missile crisis ,9780313299735; 0313299730,Greenwood Press,2000
E 841 Opo, Stan. Opotowsky,The Kennedy government ,,Harrap,1961
E 841 Pac, H. M. Pachter,Collision Course : the Cuban Missile Crisis and Coexistence ,,Pall Mall,1963
E 841 Rea, H. M. Pachter,Reassessing the sixties : debating the political and cultural legacy ,9780393039405; 0393039404,Norton,1997
E 841 Rus, D. Rusk,The winds of freedom : selections from the speeches and statements of Secretary of State Dean Rusk; January 1961 - August 1962 ,,Beacon P,1963
E 841 Sal, P. Salinger,With Kennedy ,,Doubleday,1966
E 841 Sch, Arthur M. Schlesinger,A thousand days : John F. Kennedy in the White House ,,Deutsch,1965 et
E 841 Sco, L. V. 1957- (Leord Victor) Scott,Macmillan; Kennedy and the Cuban missile crisis : political; military and intelligence aspects ,9780333752609; 0333752600,Macmillan P,1999
E 841 Sec, L. V. 1957- (Leord Victor) Scott,Second thoughts : former radicals look back at the sixties ,9780819171481; 0819171484,Madison Books,1989
E 841 Sec, L. V. 1957- (Leord Victor) Scott,The secret Cuban missile crisis documents.,9780028810836; 002881083X,Brassey's,1994
E 841 Sig, L. V. 1957- (Leord Victor) Scott,Sights on the sixties ,9780813517933; 0813517931,Rutgers UP,1992
E 841 Six, L. V. 1957- (Leord Victor) Scott,The Sixties : from memory to history ,9780807821534; 0807821535; 9780807844625; 0807844624,University of North Caroli Press,199 1994
E 841 Sor, T. C. Sorensen,Kennedy ,,Hodder,1965 et
E 841 Ste, David. Steigerwald,The sixties and the end of modern America ,9780312090074; 0312090072,St Martins P,1995
E 841 Tak, David. Steigerwald,"Takin' it to the streets" : a sixties reader ,9780195066234; 0195066235; 9780195066241; 0195066243,Oxford University Press,1995
E 841 WEL, Jutta author. Weldes,Constructing tiol interests : the United States and the Cuban missile crisis ,9780816631100; 0816631107; 9780816631117; 0816631115,University of Minnesota Press,©1999
E 841 Whi, Mark J. White,The Cuban missile crisis ,9780333630525; 0333630521,Macmillan,1996
E 841 Wof, H. Wofford,Of Kennedys and Kings : making sense of the sixties ,9780374224325; 0374224323,Farrar,1980
E 842 Bra, B. C. Bradlee,Conversations with Kennedy ,9780393087222; 0393087220,Norton,1975
E 842 Bro, Hugh. Brogan,Kennedy ,9780582028890; 0582028892; 9780582028883; 0582028884,Longman,1996
E 842 Bur, David. Burner,John F. Kennedy and a new generation ,9780316117241; 0316117242,Little Brown,1988
E 842 Bur, J. M. Burns,John Kennedy : a Political Profile ,,Harcourt,1961 et
E 842 DAL, Robert. Dallek,John F. Kennedy : an unfinished life; 1917-1963 ,9780713997378; 0713997370,Allen Lane,2003
E 842 Dam, L. Damore,The Cape Cod years of John Fitzgerald Kennedy ,,Prentice-Hall,1967
E 842 Ham, Nigel. Hamilton,J.F.K. : reckless youth ,9780712625715; 0712625712,Century,1992
E 842 Ion, E. S. Ions,The Politics of John F. Kennedy ,,Routledge,1967
E 842 Ken, John F. 1917-1963. (John Fitzgerald) Kennedy,John Fitzgerald Kennedy as we remember him ,,Atheneum,1965
E 842 LAS, Victor. Lasky,J.F.K. : the man and the myth ,,Macmillan,1963 et
E 842 Man, William Raymond Manchester,Portrait of a President : John F. Kennedy in profile ,,Little Brown,1962
E 842 Mat, Christopher. Matthews,Kennedy and Nixon : the rivalry that shaped postwar America ,9780684832463; 0684832461,Simon & Schuster,1997
E 842 PAR, Herbert S. Parmet,JFK; the presidency of John F. Kennedy ,9780140070545; 0140070540,Penguin Books,(1984), 1983
E 842 PAR, Herbert S. Parmet,JFK; the presidency of John F. Kennedy ,9780385274197; 038527419X,Dial Press,1983
E 842 ROR, W. J. Rorabaugh,Kennedy and the promise of the sixties ,9780521543835; 0521543835,Cambridge University Press,2004
E 842 Ree, Richard Reeves,President Kennedy : profile of power ,9780333619513; 033361951X,Papermac,1994
E 842 Sid, H. Sidey,John F. Kennedy : portrait of a President ,,Deutsch,1964
