CallNumber,Author,Title,ISBN,PubName,PubYear,CB
JV8749.P3 H3413,"Zeʼev Venia Hadari""",Peliṭim menatsḥim imperyah English+Second Exodus : the full story of Jewish illegal immigration to Palestine 1945-1948 ,085303219X;9780853032199;0853032238;9780853032236,London,1991,no
JQ1758.A38 M53,Yosef Gotlieb,Self-determination in the Middle East ,0275908089 0030624088 : $30.95;9780275908089;9780030624087;0030624088,New York : Praeger,1982,no
E876 .S65,Larry Speakes with Robert Pack,Speaking out : the Reagan presidency from inside the White House ,0684189291;9780684189291,New York : Scribner,1988,no
JN329.I6 W574,Peter Wright,Spycatcher : the candid autobiography of a senior intelligence officer ,0670820555;9780670820559,New York,1987,no
JQ1850.A91 S73,edited  Eric Davis, Nicolas Gavrielides ; sponsored  the Joint Committee on the Near and Middle East, Social Science Research Council, New York City,Statecraft in the Middle East : oil historical memory and popular culture ,no
JX3091 .R35,Seif Ahmed El-Wady Romahi ; with foreword  William Currie,Studies in international law and diplomatic practice ,4828600116 : $24.00;9784828600116,Tokyo : Data Labo,1980,no
JC599S95 S97,Middle East Watch,Syria unmasked : the suppression of human rights by the Asad regime ,0300051158;9780300051155,New Haven : Yale University Press,1991,no
JX4084.P39 T47,edited  Richard Schofield,Territorial foundations of the Gulf states ,1857281217;9781857281217;1857281225;9781857281224,London : UCL Press,1994,no
E183.8.I55 T87,Stansfield Turner,Terrorism and democracy ,0395430860;9780395430866,Boston : Houghton Mifflin,1991,no
E183.8.I7 O74,AFK Organski,The $36 billion bargain : strategy and politics in US assistance to Israel ,0231071965;9780231071963;0231071973;9780231071970,New York : Columbia Univ Press,1990,no
JN1129 .C72 H57,John Ramsden,A history of the Conservative Party- The Age of Balfour and Baldwin 1902-1940 ,0582507146;9780582507142,London,1978,no
E183.8.S25 E44,Steven Emerson,The American house of Saud : the secret petrodollar connection ,0531097781;9780531097786,New York : F Watts,1985,no
JQ1825.P459 P48,JE Peterson ; foreword  Majid Khadduri,The Arab Gulf states : steps toward political participation ,0275928810;0275928829,New York : Praeger,1988,no
JQ1850.A5 M36,Fawzy Mansour ; with a contributory chapter  Samir Amin,The Arab world : nation state and democracy ,0862328845;9780862328849;0862328853;9780862328856,Tokyo : United Nations University Press ; London ; Atlantic Highlands,1992,no
