CallNumber,Author,Title,ISBN,PubName,PubYear,CB
E 208 Bai,Bernard Bailyn,Faces of revolution : persolities and themes in the struggle for American independence ,9780679736233; 0679736239,Vintage Books,1992,yes
E 209 WOO,Gordon S Wood,The radicalism of the American Revolution ,9780679736882; 0679736883,Vintage Books,1993,yes
E 197 DEM,John Demos,The unredeemed captive : a family story from early America ,9780679759614; 0679759611,Vintage Books,1995,yes
E 159 LOE,James W Loewen,Lies across America : what our historic sites get wrong ,074329629X; 9780743296298,Simon & Schuster,2000,yes
E 184.O6 Cha,Sucheng Chan,Asian Americans : an interpretive history ,9780805784268; 0805784268,Twayne,1991,yes
E 185.97.W44 A3,edited  Miriam DeCosta-Willis ; foreword  Mary Helen Washington ; afterword  Dorothy Sterling,The Memphis diary of Ida B. Wells ,9780807070659; 0807070653,Beacon P,1995,yes
E 175.5 ZIN,Howard Zinn,You can't be neutral on a moving train : a persol history of our times ,9780807071274; 0807071277,Beacon Press,2002,yes
E 162 Gre,Jack P Greene,The intellectual construction of America : exceptiolism and identity from 1492 to 1800 ,9780807820971; 0807820970,U of North Caroli P,1993,yes
E 185 Mei,August Meier and Elliott Rudwick,From plantation to ghetto ,9780809047925; 0809047926,Hill & Wang,1976,yes
E 179.5 STE,Anders Stephanson,Manifest destiny : American expansionism and the empire of right ,9780809015849; 0809015846,Hill and Wang,1995,yes
E 185.97 BAY,Mia Bay,To tell the truth freely : the life of Ida B. Wells ,0809095297; 9780809095292; 080901646X; 9780809016464,Hill and Wang,2009,yes
E 208 COU,Edward Countryman,The American revolution ,9780809025626; 0809025620,Hill and Wang,2003,yes
E 215.7 YOU,Alfred F Young,The shoemaker and the tea party : memory and the American Revolution ,0807054054; 9780807054055; 9780807071403; 0807071404,Beacon Press,1999,yes
E 178 BEN,Thomas Bender,A tion among tions : America's place in world history ,9780809095278; 0809095270; 9780809072354; 0809072351,Hill and Wang,2006,yes
E 185.86 HOO,Marty Jezer,Ain't I a woman : Black women and feminism ,9780896081307; 0896081303; 9780896081284; 0896081281,South End Press,1981,yes
E 185.97.G3 MAR,Tony Martin,The Pan-African connection : from slavery to Garvey and beyond ,9780912469102; 0912469102; 9780912469119; 0912469110,Majority Press,1984,yes
E 185.96 Ste,Dorothy Sterling ; foreword  Margaret Walker ; introduction  Barbara Christian,Black foremothers : three lives ,9780935312898; 0935312897,Feminist P,1988,yes
E 185.97.K5 MAC,Gerald D McKnight,The last crusade : Martin Luther King Jr; the FBI and the Poor People's Campaign ,0813333849; 9780813333847,Westview Press,1998,yes
E 276 BER,Carol Berkin,Revolutiory mothers : women in the struggle for America's independence ,9781400041633; 1400041635; 9781400075324; 1400075327,Distributed by Random House; Knopf,2005,yes
E 183.7 PRE,Andrew Preston,Sword of the spirit; shield of faith : religion in American war and diplomacy ,140007858X; 9781400078585,Anchor Books,2012,yes
E 169.Z83 JAC,Susan Jaco,The age of American unreason ,9781400096381; 1400096383,Vintage Books,2009,yes
E 184.I6 BAR,James R Barrett,The Irish way : becoming American in the multiethnic city ,1594203253; 9781594203251,Penguin Press,2012,yes
E 185.97.D73 MAR,Manning Marable,W.E.B. Du Bois : Black radical democrat ,9781594510182; 1594510180; 9781594510199; 1594510199,Paradigm Publishers,2005,yes
E 185.615 RUS,edited  Devon W Carbado and Donald Weise,Time on two crosses : the collected writings of Bayard Rustin ,9781573441742; 1573441740,Cleis,2003,yes
E 184.I5 MOA,Azadeh Moaveni,Lipstick Jihad : a memoir of growing up Iranian in America and American in Iran ,1586483781; 9781586483784,PublicAffairs,2006,yes
E 185.2 Fre,[edited ] Ira Berlin [and others],Free at last : a documentary history of slavery; freedom and the civil war ,9781565841208; 1565841204,New P,1992,yes
E 169.1 STE,Edward C Stewart and Milton J Bennett,American cultural patterns : a cross-cultural perspective ,9781877864018; 1877864013,Intercultural Press,1991,yes
E 185.86 Whi,Deborah Gray White,Too heavy a load : Black women in defense of themselves; 1894-1994 ,9780393319927; 039331992X,WWNorton,1999,yes
E 185.61 FAI,Adam Fairclough,Better day coming : blacks and equality; 1890-2000 ,9780142001295; 0142001295; 9780670875924; 0670875929,Penguin,2002,yes
E 185.615 BLA,edited  Charles E  Jones,The Black Panther party (reconsidered) ,0933121962; 9780933121966; 0933121970; 9780933121973,Black Classic Press,1998,yes
E 185.6 WIL,Isabel Wilkerson,The warmth of other suns : the epic story of America's great migration ,0679444327; 9780679444329; 0679763880; 9780679763888,Random House,2010,yes
E 169.12 ZOO,Liesbet van Zoonen,Entertaining the citizen : when politics and popular culture converge ,9780742529069; 0742529061; 9780742529076; 074252907X,Rowman & Littlefield,2005,yes
E 169.12 OAK,Kaya Oakes,Slanted and enchanted : the evolution of indie culture ,0805088520; 9780805088526,Henry Holt and Co,2009,yes
JA 000 ALE, Titus Alexander,Practical politics : lessons in power and democracy ,9781858567846; 185856784X,Trentham Books,2016,no
JA 000 ARG, Titus Alexander,The argumentative turn in policy analysis and planning ,9780822313724; 0822313723; 9780822313540; 0822313545,Duke University Press,1993,no
JA 000 BAL, Alan R. Ball,Modern politics and government.,9780333961605; 0333961609; 9780333961612; 0333961617,Palgrave Macmillan,2005,no
JA 000 BEC, Ulrich Beck,The reinvention of politics : rethinking modernity in the global social order ,9780745613666; 0745613667; 9780745617589; 0745617581,Polity,1997,no
JA 000 BES, Shaun. Best,Introduction to politics and society ,9780761971313; 0761971319; 9780761971306; 0761971300,SAGE,2002,no
JA 000 BLA, William T. Blackstone,Political philosophy : an introduction ,9780690646337; 069064633X,Crowell,1973,no
JA 000 BUE, Edward H. 1910- (Edward Henry) Buehrig,Essays in political science ,,Indiana University Press,1966,no
JA 000 Bal, Alan R. Ball,Modern politics and government ,9780333737477; 0333737474,Macmillan,2000,no
JA 000 Bar, Brian M. Barry,Political argument ,9780745009063; 0745009069,Harvester Wheatsheaf,1990,no
JA 000 Blo, Jean Blondel,The Discipline of Politics ,9780408106818; 0408106816,Butterworths,1981,no
JA 000 CHR, John Philip Christman,Social and political philosophy : a contemporary introduction ,9780415217972; 0415217970; 9780415217989; 0415217989,Routledge,2002,no
JA 000 COA, John. Coakley,History of the International Political Science Association; 1949-1999 ,9781902277288; 1902277287,International Political Science Association,2000,no
JA 000 COL, G. D. H. 1889-1959. (George Douglas Howard) Cole,Some relations between political and economic theory ,,Macmillan,1934,no
JA 000 COL, G. D. H. 1889-1959. (George Douglas Howard) Cole,Theories and forms of political organisation ,,V Gollancz ltd,1932,no
JA 000 COR, Francis Macdonald Cornford,Microcosmographia academica : being a guide for the young academic politician ,,Bowes and Bowes,1964,no
JA 000 CRI, Bernard Crick,In defence of politics ,9780826487513; 0826487513,Continuum,2000,no
JA 000 Cat, George Edward Gordon Catlin,The science and method of politics ,,Kegan Paul,1927,no
JA 000 Con, William E. Connolly,The terms of political discourse ,9780855206000; 0855206004,Robertson,1983,no
JA 000 Cri, Bernard Crick,In defence of politics ,9780297820840; 0297820842,Weidenfeld,1992,no
JA 000 Cri, Bernard Crick,What is politics ,9780713165043; 0713165049,Arnold,1987,no
JA 000 DIA, Bernard Crick,Dialectics in world politics ,9780415625272; 0415625270,Routledge,2015,no
JA 000 Dah, Robert A. Dahl,Readings in modern political analysis ,,Prentice-Hall,1968,no
JA 000 Dev, Robert A. Dahl,The development of political science : a comparative survey ,9780415056236; 0415056233,Routledge,1991,no
JA 000 Dha, G. N. (Gopi Nath) Dhawan,Politics of persuasion : essays written in memory of Dr G.P. Dhawan ,,Manaktalas,1967,no
JA 000 Duv, Maurice Duverger,Institutions politiques et droit constitutionnel ,,PUF,1973,no
JA 000 Duv, Maurice Duverger,The study of politics ,9780177110986; 0177110988,Nelson,1972,no
JA 000 EDE, Murray J. 1919-2001. (Murray Jacob) Edelman,The symbolic uses of politics ,,University of Illinois Press,1964,no
JA 000 Ell, Jacques. Ellul,The political illusion ,,Knopf,1967,no
JA 000 Enc, Jacques. Ellul,Encyclopedia of government and politics.,9780415072250; 0415072255,Routledge,1992,no
JA 000 FAR, Jacques. Ellul,Approaches to comparative and international politics ,,Northwestern University Press,1966,no
JA 000 FEI, Joel Feinberg,Social philosophy.,9780138172626; 0138172625; 9780138172541; 0138172544,Prentice-Hall,1973,no
JA 000 FLA, Richard E. Flathman,Concepts in social & political philosophy ,,Macmillan,1973,no
JA 000 FUT, Richard E. Flathman,The future of political science : 100 perspectives ,0415997003; 9780415997003; 0415997011; 9780415997010,Routledge,2009,no
JA 000 GAR, Richard E. Flathman,Political research and political theory : essays in memory of Prof. V. O. Key Jr. ,,Harvard University Press,1968,no
JA 000 GRE, A. James 1929- (Anthony James) Gregor,An introduction to metapolitics : a brief inquiry into the conceptual language of political science ,,Free Press,1971,no
JA 000 HAY, Colin Hay,Why we hate politics ,0745630987; 9780745630984; 0745630995; 9780745630991,Polity,2007,no
